playlist_id,playlist_title,playlist_desc,published_at,channel_id,channel_title,item_count,thumb_default,thumb_medium,thumb_high
PLxKLMN7WdG5Bov8ViLgsNXe6aIiQm96M_,RAP VIỆT [ MV Lyrics ],,2020-08-04 11:35:40.367106+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,105,https://i.ytimg.com/vi/5bNpeT2silk/default.jpg,https://i.ytimg.com/vi/5bNpeT2silk/mqdefault.jpg,https://i.ytimg.com/vi/5bNpeT2silk/hqdefault.jpg
PLxKLMN7WdG5AGYNkC_nn05Bg4TwqA9Sp3,RAP VIỆT [ Hậu trường độc quyền ],,2020-08-04 11:31:46.903892+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,221,https://i.ytimg.com/vi/6WdUxgpOdow/default.jpg,https://i.ytimg.com/vi/6WdUxgpOdow/mqdefault.jpg,https://i.ytimg.com/vi/6WdUxgpOdow/hqdefault.jpg
PLxKLMN7WdG5Cegi48SZZzeuPVVf_CdP7y,RAP VIỆT [ Live Stage ] | Show truyền hình được yêu thích nhất 2020,"Tổng hợp các bài hát sôi động nhất để đón Xuân Tân Sửu Tết 2021
#RapViệt #Rap_Việt #VieChannelHTV2 #VieGIẢITRÍ
#2021 #XuânTânSửu #Tết2021",2020-08-03 04:37:42.659759+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,119,https://i.ytimg.com/vi/D1eY4VjMLS4/default.jpg,https://i.ytimg.com/vi/D1eY4VjMLS4/mqdefault.jpg,https://i.ytimg.com/vi/D1eY4VjMLS4/hqdefault.jpg
PLxKLMN7WdG5CCHTK2RKyBoSPT6MAjNSiV,Show RAP VIỆT - Mùa 1 | Show âm nhạc tỷ view được yêu thích nhất 2020,"Show RAP VIỆT - Mùa 1 là show âm nhạc được yêu thích nhất 2020, chiến thắng giải thưởng WeChoice 2020 và Âm Nhạc Cống Hiến 2020",2020-07-29 02:42:08.164278+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,814,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg
PLxKLMN7WdG5AlZgn2_xnZsYydiCx8ocMV,Phim Việt HẢI ĐƯỜNG TRONG GIÓ | Phim Hành Động Chuẩn Điện Ảnh,,2020-07-09 11:06:44.463588+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,43,https://i.ytimg.com/vi/WCcE8L2AWSk/default.jpg,https://i.ytimg.com/vi/WCcE8L2AWSk/mqdefault.jpg,https://i.ytimg.com/vi/WCcE8L2AWSk/hqdefault.jpg
PLxKLMN7WdG5C4s7YlAHfKvXaTQYOQzsvA,Phim Việt GẠO NẾP GẠO TẺ - Phần 2 | Trọn bộ phim hay,"Bộ phim gia đình Việt được yêu thích khắp cả nước năm 2018, trở lại với phần 2: NSUT Minh Đức, Trung Dũng, Thúy Ngân, Song Luân, Tường Vi, ST Sơn Thạch, Khánh Linh, Jun Phạm

#GạoNếpGạoTẻ #Gạo_Nếp_Gạo_Tẻ #VieChannelHTV2 #VieGIẢITRÍ
#2021 #XuânTânSửu #Tết2021",2020-06-23 11:47:29.575628+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,50,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg
PLxKLMN7WdG5DWTxwel5hsaLSOlpzgayQ5,SÓNG VieON - Đêm nhạc giải trí đỉnh cao 2020,,2020-06-15 09:15:46.955984+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,3,https://i.ytimg.com/vi/bQ2RZ03fV8I/default.jpg,https://i.ytimg.com/vi/bQ2RZ03fV8I/mqdefault.jpg,https://i.ytimg.com/vi/bQ2RZ03fV8I/hqdefault.jpg
PLxKLMN7WdG5Dm4TS1WTPGG7Z2vtD2_t82,Đồng hành cùng GẠO NẾP GẠO TẺ - PHẦN 2 | PHIM GIA ĐÌNH VIỆT 2020,"Đón xem GẠO NẾP GẠO TẺ - PHẦN 2 lúc 20h Thứ 2 - Thứ 4 trên kênh truyền hình Vie Channel - HTV2, Vie GIẢITRÍ và ứng dụng VieON",2020-06-09 08:34:39.681571+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,252,https://i.ytimg.com/vi/1DgqBl3Hkcg/default.jpg,https://i.ytimg.com/vi/1DgqBl3Hkcg/mqdefault.jpg,https://i.ytimg.com/vi/1DgqBl3Hkcg/hqdefault.jpg
PLxKLMN7WdG5DgCFik6_jqji10IM-VYt0H,GẠO NẾP GẠO TẺ PHIÊN BẢN ĐẶC BIỆT 2020,"Bộ phim Việt được yêu thích khắp cả nước:
- Kỷ lục lượt xem - hơn 1.2 tỷ lượt xem
- Kỷ lục giải thưởng - 8 giải vàng",2020-05-27 02:22:03.685504+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,30,https://i.ytimg.com/vi/i7z0tFd_3cQ/default.jpg,https://i.ytimg.com/vi/i7z0tFd_3cQ/mqdefault.jpg,https://i.ytimg.com/vi/i7z0tFd_3cQ/hqdefault.jpg
PLxKLMN7WdG5AKOYh5m-OHnGQwL5vW9inE,NHANH NHƯ CHỚP NHÍ - MÙA 3 | TV SHOW YÊU THÍCH NHẤT CỦA MẸ & BÉ,"Show truyền hình Việt | Thông minh - Ngộ nghĩnh - Đáng yêu dành cho mẹ & bé và mọi gia đình

#NhanhNhưChớpNhí #NhanhNhuChopNhi #VieChannelHTV2",2020-05-06 07:46:11.635388+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,383,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg
PLxKLMN7WdG5D5w361fiB-bOyEfP6_b8ty,TV Show ĐỈNH NHẤT Năm 2020 | NGƯỜI ẤY LÀ AI? - MÙA 3,"NGƯỜI ẤY LÀ AI? - MÙA 3 | Show truyền hình giải trí truy tìm Ai là Độc Thân - Ai đã Có Chủ - Ai thuộc Giới Tính Thứ 3

#NgườiẤyLàAi #NguoiAyLaAiMua3 #VieChannelHTV2",2020-04-29 11:20:57.248509+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,473,https://i.ytimg.com/vi/rbZSo-v3vb4/default.jpg,https://i.ytimg.com/vi/rbZSo-v3vb4/mqdefault.jpg,https://i.ytimg.com/vi/rbZSo-v3vb4/hqdefault.jpg
PLxKLMN7WdG5CCjIgtUcRpbj6j0Qeb2BDT,Tuyển Tập Hài HAY NHẤT 2020 |  Hoài Linh - Trấn Thành - Trường Giang,,2020-04-24 03:47:43.882177+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,16,https://i.ytimg.com/vi/3ozViFPks4o/default.jpg,https://i.ytimg.com/vi/3ozViFPks4o/mqdefault.jpg,https://i.ytimg.com/vi/3ozViFPks4o/hqdefault.jpg
PLxKLMN7WdG5AoUgyajLimWXrEtFjwmVI8,Phim Tâm Lý - Hình Sự - Xã Hội Hay Nhất 2020,,2020-04-03 16:58:12.779900+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,24,https://i.ytimg.com/vi/ykHDoKQdwak/default.jpg,https://i.ytimg.com/vi/ykHDoKQdwak/mqdefault.jpg,https://i.ytimg.com/vi/ykHDoKQdwak/hqdefault.jpg
PLxKLMN7WdG5CwetK0BHGlrThWFYCoT8SI,ALS1_Tổng hợp,,2020-01-31 08:38:24.707233+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,128,https://i.ytimg.com/vi/mFWbRV2-VkA/default.jpg,https://i.ytimg.com/vi/mFWbRV2-VkA/mqdefault.jpg,https://i.ytimg.com/vi/mFWbRV2-VkA/hqdefault.jpg
PLxKLMN7WdG5AMUjGyTfZqAZHy2a_bAQ3J,Siêu Trí Tuệ_Mùa 1,,2020-01-31 03:36:28.487718+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,165,https://i.ytimg.com/vi/_pbTemd_Xhw/default.jpg,https://i.ytimg.com/vi/_pbTemd_Xhw/mqdefault.jpg,https://i.ytimg.com/vi/_pbTemd_Xhw/hqdefault.jpg
PLxKLMN7WdG5DjNVQXZVZrwSvYV0KSyEkN,TẾT ƠI XUÂN À | 11:45 HÀNG NGÀY,,2020-01-21 08:34:04.425595+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,8,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg
PLxKLMN7WdG5DRMIQu4i1zFmPrbUXY2MEJ,🐭 Hài Tết 2020 🐭 | 20:00 HÀNG NGÀY,,2020-01-21 06:16:49.333138+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,21,https://i.ytimg.com/vi/5GUcxdBdJjc/default.jpg,https://i.ytimg.com/vi/5GUcxdBdJjc/mqdefault.jpg,https://i.ytimg.com/vi/5GUcxdBdJjc/hqdefault.jpg
PLxKLMN7WdG5CIEc4n4Ubuj245palmTSev,Đỉnh nhất trên Vie Channel,,2020-01-20 08:15:51.139803+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,8,https://i.ytimg.com/vi/2Qn_Pg_BIoE/default.jpg,https://i.ytimg.com/vi/2Qn_Pg_BIoE/mqdefault.jpg,https://i.ytimg.com/vi/2Qn_Pg_BIoE/hqdefault.jpg
PLxKLMN7WdG5BhUgYr_HhvJOO4BkRkIcfX,CƯỚI CHẠY KỊP XUÂN | 11:45 HÀNG NGÀY,,2020-01-15 04:41:19.098043+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,11,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg
PLxKLMN7WdG5DoqHv3DEctfphRVU1yuutp,Ca nhạc Tết SÓNG 20 | Xuân Tân Sửu Tết 2021,"Sóng 20 quy tụ hơn 100 ca sỹ, nghệ sĩ và các nhân vật có sức ảnh hưởng đã tạo sóng trong năm 2019: Trán Thành, Noo Phước Thịnh, Trúc Nhân, Tóc Tiên, Hoàng Thùy Linh, Đông Nhi, Chi Pu, Hương Giang, Erik, Đức Phúc, Hiền Hồ, Vũ Cát Tường, Lê Hiếu, Thúy Ngân, Ôn Vĩnh Quang, H'Hennie, Ninh Dương Lan Ngọc...

#Sóng20 #Sóng_20
#VieChannelHTV2 #VieGIẢITRÍ
#2021 #XuânTânSửu #Tết2021",2020-01-02 07:27:01.439857+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,101,https://i.ytimg.com/vi/3e4qgtcQXZw/default.jpg,https://i.ytimg.com/vi/3e4qgtcQXZw/mqdefault.jpg,https://i.ytimg.com/vi/3e4qgtcQXZw/hqdefault.jpg
PLxKLMN7WdG5Bj8krYkTZYoVLzjPqmD3Pr,HOÀI LINH PHIÊU LƯU KÝ | 20:00 THỨ 5,,2019-12-25 07:34:13.064812+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,4,https://i.ytimg.com/vi/H9NMVjKzdUA/default.jpg,https://i.ytimg.com/vi/H9NMVjKzdUA/mqdefault.jpg,https://i.ytimg.com/vi/H9NMVjKzdUA/hqdefault.jpg
PLxKLMN7WdG5CeH5UAjt4CnugJGOe87uYw,Show Hẹn Hò HOT Nhất 2020 | Từ Lạ Thành Thương,"Chương trình Từ Lạ Thành Thương phát sóng lúc 19:45 trên truyền hình Vie Channel - HTV2 | 20:00 trên Youtube

#TừLạThànhThương #TuLaThanhThuong
từ lạ thành thuong, tu la thanh thuong, từ lạ, thành thương, chương trình hẹn hò",2019-12-25 06:43:19.021040+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,176,https://i.ytimg.com/vi/HLtKweD-k5Q/default.jpg,https://i.ytimg.com/vi/HLtKweD-k5Q/mqdefault.jpg,https://i.ytimg.com/vi/HLtKweD-k5Q/hqdefault.jpg
PLxKLMN7WdG5D819EUdfhqrnPbhavXugfZ,Đang phát sóng DÒNG SÔNG HUYNH ĐỆ | 20:00 THỨ 2-4,"Câu chuyện gia đình trong ""Dòng sông huynh đệ"" xuất phát từ chính người đàn ông trụ cột, sống gia trưởng, ích kỷ và đầy thiên vị... (Chi Bảo - Lương Thế Thành - Hòa Hiệp)",2019-12-23 02:14:49.073552+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,28,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg
